country,Year,Poverty rate (no unit)
POL,2008,0.101
POL,2009,0.106
POL,2010,0.097
POL,2011,0.103
POL,2012,0.082
POL,2013,0.077
POL,2014,0.077
POL,2015,0.088
POL,2016,0.096
POL,2017,0.112
POL,2018,0.128
PRT,2004,0.176
PRT,2005,0.18
PRT,2006,0.166
PRT,2007,0.143
PRT,2008,0.115
PRT,2009,0.125
PRT,2010,0.091
PRT,2011,0.083
PRT,2012,0.082
PRT,2013,0.097
PRT,2014,0.097
PRT,2015,0.108
PRT,2016,0.095
PRT,2017,0.101
PRT,2018,0.09
PRT,2019,0.107
SVK,2004,0.06
SVK,2005,0.074
SVK,2006,0.086
SVK,2007,0.103
SVK,2008,0.097
SVK,2009,0.058
SVK,2010,0.046
SVK,2011,0.064
SVK,2012,0.04
SVK,2013,0.041
SVK,2014,0.039
SVK,2015,0.034
SVK,2016,0.044
SVK,2017,0.048
SVK,2018,0.05
SVK,2019,0.066
ESP,2007,0.198
ESP,2008,0.19
ESP,2009,0.167
ESP,2010,0.118
ESP,2011,0.092
ESP,2012,0.067
ESP,2013,0.053
ESP,2014,0.054
ESP,2015,0.059
ESP,2016,0.094
ESP,2017,0.102
ESP,2018,0.102
ESP,2019,0.116
SWE,2013,0.089
SWE,2014,0.1
SWE,2015,0.114
SWE,2016,0.11
SWE,2017,0.113
SWE,2018,0.109
SWE,2019,0.114
EST,2013,0.222
EST,2014,0.258
EST,2015,0.322
EST,2016,0.36
EST,2017,0.372
EST,2018,0.376
EST,2019,0.345
LVA,2004,0.114
LVA,2005,0.238
LVA,2006,0.26
LVA,2007,0.442
LVA,2008,0.374
LVA,2009,0.107
LVA,2010,0.052
LVA,2011,0.07
LVA,2012,0.117
LVA,2013,0.208
LVA,2014,0.273
LVA,2015,0.313
LVA,2016,0.329
LVA,2017,0.353
LVA,2018,0.39
LVA,2019,0.338
LTU,2004,0.132
LTU,2005,0.154
LTU,2006,0.251
LTU,2007,0.215
LTU,2008,0.191
LTU,2009,0.062
LTU,2010,0.044
LTU,2011,0.113
LTU,2012,0.133
LTU,2013,0.131
LTU,2014,0.173
LTU,2015,0.204
LTU,2016,0.253
LTU,2017,0.282
LTU,2018,0.252
LTU,2019,0.287
SVN,2004,0.165
SVN,2005,0.146
SVN,2006,0.154
SVN,2007,0.168
SVN,2008,0.17
SVN,2009,0.154
SVN,2010,0.162
SVN,2011,0.145
SVN,2012,0.157
SVN,2013,0.122
SVN,2014,0.131
SVN,2015,0.135
SVN,2016,0.123
SVN,2017,0.132
SVN,2018,0.121
SVN,2019,0.13
