country,Year,Poverty rate (no unit)
HUN,2007,0.063
HUN,2008,0.058
HUN,2009,0.06
HUN,2010,0.073
HUN,2011,0.076
HUN,2012,0.09
HUN,2013,0.086
HUN,2014,0.09
HUN,2015,0.09
HUN,2016,0.083
HUN,2017,0.084
HUN,2018,0.096
HUN,2019,0.084
IRL,2004,0.107
IRL,2005,0.094
IRL,2006,0.094
IRL,2007,0.088
IRL,2008,0.079
IRL,2009,0.084
IRL,2010,0.09
IRL,2011,0.098
IRL,2012,0.096
IRL,2013,0.096
IRL,2014,0.097
IRL,2015,0.099
IRL,2016,0.094
IRL,2017,0.086
IRL,2018,0.07
ITA,2004,0.105
ITA,2005,0.111
ITA,2006,0.107
ITA,2007,0.102
ITA,2008,0.103
ITA,2009,0.109
ITA,2010,0.127
ITA,2011,0.122
ITA,2012,0.129
ITA,2013,0.134
ITA,2014,0.136
ITA,2015,0.148
ITA,2016,0.138
ITA,2017,0.14
ITA,2018,0.142
LUX,2015,0.109
LUX,2016,0.112
LUX,2017,0.119
LUX,2018,0.109
LUX,2019,0.1
NLD,2011,0.076
NLD,2012,0.078
NLD,2013,0.081
NLD,2014,0.08
NLD,2015,0.081
NLD,2016,0.083
NLD,2017,0.08
NLD,2018,0.079
NLD,2019,0.083
POL,2005,0.122
POL,2006,0.109
POL,2007,0.091
POL,2008,0.1
POL,2009,0.101
POL,2010,0.102
POL,2011,0.102
POL,2012,0.101
POL,2013,0.104
POL,2014,0.104
POL,2015,0.11
POL,2016,0.107
POL,2017,0.1
POL,2018,0.097
PRT,2004,0.11
PRT,2005,0.107
PRT,2006,0.106
PRT,2007,0.112
PRT,2008,0.1
PRT,2009,0.106
PRT,2010,0.101
PRT,2011,0.111
PRT,2012,0.129
PRT,2013,0.133
PRT,2014,0.133
PRT,2015,0.123
PRT,2016,0.126
PRT,2017,0.105
PRT,2018,0.103
PRT,2019,0.098
SVK,2004,0.077
SVK,2005,0.065
SVK,2006,0.055
SVK,2007,0.057
SVK,2008,0.061
SVK,2009,0.072
SVK,2010,0.077
SVK,2011,0.075
SVK,2012,0.075
SVK,2013,0.08
SVK,2014,0.082
SVK,2015,0.077
SVK,2016,0.078
SVK,2017,0.066
SVK,2018,0.071
SVK,2019,0.069
ESP,2007,0.117
ESP,2008,0.119
ESP,2009,0.125
ESP,2010,0.127
ESP,2011,0.142
ESP,2012,0.139
ESP,2013,0.165
ESP,2014,0.158
ESP,2015,0.159
ESP,2016,0.154
ESP,2017,0.147
ESP,2018,0.138
ESP,2019,0.138
SWE,2013,0.084
SWE,2014,0.085
SWE,2015,0.085
SWE,2016,0.084
SWE,2017,0.086
SWE,2018,0.082
SWE,2019,0.086
EST,2013,0.146
EST,2014,0.132
EST,2015,0.128
EST,2016,0.119
EST,2017,0.116
EST,2018,0.119
EST,2019,0.111
SVN,2004,0.064
SVN,2005,0.057
SVN,2006,0.059
SVN,2007,0.063
SVN,2008,0.061
SVN,2009,0.07
SVN,2010,0.075
SVN,2011,0.076
SVN,2012,0.083
SVN,2013,0.088
SVN,2014,0.085
SVN,2015,0.087
SVN,2016,0.082
SVN,2017,0.078
SVN,2018,0.068
SVN,2019,0.064
LVA,2004,0.143
LVA,2005,0.158
LVA,2006,0.127
LVA,2007,0.134
LVA,2008,0.147
LVA,2009,0.142
LVA,2010,0.144
LVA,2011,0.137
LVA,2012,0.132
LVA,2013,0.125
LVA,2014,0.136
LVA,2015,0.13
LVA,2016,0.13
LVA,2017,0.126
LVA,2018,0.131
LVA,2019,0.127
LTU,2004,0.129
LTU,2005,0.129
LTU,2006,0.104
LTU,2007,0.11
LTU,2008,0.131
LTU,2009,0.16
LTU,2010,0.14
LTU,2011,0.124
LTU,2012,0.135
LTU,2013,0.118
LTU,2014,0.139
LTU,2015,0.147
LTU,2016,0.142
LTU,2017,0.138
LTU,2018,0.124
LTU,2019,0.116
