country,Year,Poverty rate (no unit)
HUN,2006,0.106
HUN,2007,0.101
HUN,2008,0.092
HUN,2009,0.097
HUN,2010,0.121
HUN,2011,0.124
HUN,2012,0.125
HUN,2013,0.143
HUN,2014,0.132
HUN,2015,0.105
HUN,2016,0.079
HUN,2017,0.099
HUN,2018,0.086
HUN,2019,0.084
IRL,2004,0.157
IRL,2005,0.139
IRL,2006,0.126
IRL,2007,0.107
IRL,2008,0.118
IRL,2009,0.105
IRL,2010,0.1
IRL,2011,0.108
IRL,2012,0.099
IRL,2013,0.101
IRL,2014,0.093
IRL,2015,0.111
IRL,2016,0.1
IRL,2017,0.086
IRL,2018,0.08
ITA,2004,0.157
ITA,2005,0.16
ITA,2006,0.155
ITA,2007,0.155
ITA,2008,0.161
ITA,2009,0.171
ITA,2010,0.18
ITA,2011,0.178
ITA,2012,0.177
ITA,2013,0.177
ITA,2014,0.193
ITA,2015,0.183
ITA,2016,0.173
ITA,2017,0.187
ITA,2018,0.18
LUX,2015,0.137
LUX,2016,0.132
LUX,2017,0.139
LUX,2018,0.16
LUX,2019,0.153
NLD,2011,0.092
NLD,2012,0.097
NLD,2013,0.101
NLD,2014,0.103
NLD,2015,0.1
NLD,2016,0.103
NLD,2017,0.099
NLD,2018,0.099
NLD,2019,0.104
POL,2005,0.179
POL,2006,0.154
POL,2007,0.125
POL,2008,0.138
POL,2009,0.137
POL,2010,0.133
POL,2011,0.125
POL,2012,0.129
POL,2013,0.135
POL,2014,0.129
POL,2015,0.135
POL,2016,0.093
POL,2017,0.068
POL,2018,0.074
PRT,2004,0.167
PRT,2005,0.145
PRT,2006,0.148
PRT,2007,0.171
PRT,2008,0.153
PRT,2009,0.144
PRT,2010,0.155
PRT,2011,0.157
PRT,2012,0.178
PRT,2013,0.183
PRT,2014,0.182
PRT,2015,0.155
PRT,2016,0.155
PRT,2017,0.122
PRT,2018,0.122
PRT,2019,0.131
SVK,2004,0.113
SVK,2005,0.095
SVK,2006,0.095
SVK,2007,0.095
SVK,2008,0.099
SVK,2009,0.124
SVK,2010,0.122
SVK,2011,0.126
SVK,2012,0.149
SVK,2013,0.138
SVK,2014,0.145
SVK,2015,0.149
SVK,2016,0.139
SVK,2017,0.118
SVK,2018,0.124
SVK,2019,0.124
ESP,2007,0.198
ESP,2008,0.21
ESP,2009,0.216
ESP,2010,0.203
ESP,2011,0.212
ESP,2012,0.21
ESP,2013,0.234
ESP,2014,0.227
ESP,2015,0.221
ESP,2016,0.22
ESP,2017,0.196
ESP,2018,0.193
ESP,2019,0.209
SWE,2013,0.09
SWE,2014,0.092
SWE,2015,0.091
SWE,2016,0.089
SWE,2017,0.093
SWE,2018,0.09
SWE,2019,0.094
EST,2013,0.141
EST,2014,0.15
EST,2015,0.121
EST,2016,0.098
EST,2017,0.098
EST,2018,0.103
EST,2019,0.087
SVN,2004,0.069
SVN,2005,0.061
SVN,2006,0.07
SVN,2007,0.069
SVN,2008,0.074
SVN,2009,0.08
SVN,2010,0.095
SVN,2011,0.08
SVN,2012,0.089
SVN,2013,0.098
SVN,2014,0.09
SVN,2015,0.072
SVN,2016,0.071
SVN,2017,0.064
SVN,2018,0.059
SVN,2019,0.056
LVA,2004,0.161
LVA,2005,0.19
LVA,2006,0.122
LVA,2007,0.145
LVA,2008,0.181
LVA,2009,0.172
LVA,2010,0.173
LVA,2011,0.16
LVA,2012,0.156
LVA,2013,0.156
LVA,2014,0.156
LVA,2015,0.123
LVA,2016,0.13
LVA,2017,0.111
LVA,2018,0.105
LVA,2019,0.102
LTU,2004,0.165
LTU,2005,0.187
LTU,2006,0.155
LTU,2007,0.144
LTU,2008,0.159
LTU,2009,0.194
LTU,2010,0.157
LTU,2011,0.147
LTU,2012,0.184
LTU,2013,0.139
LTU,2014,0.204
LTU,2015,0.19
LTU,2016,0.177
LTU,2017,0.184
LTU,2018,0.165
LTU,2019,0.149
