country,Year,Employment Rate (no unit)
GBR,2011,70.325
GBR,2012,70.975
GBR,2013,71.55
GBR,2014,72.875
GBR,2015,73.675
GBR,2016,74.375
GBR,2017,75.0
GBR,2018,75.625
GBR,2019,76.175
GBR,2020,75.425
GBR,2021,75.2
USA,1955,61.46822
USA,1956,62.4337
USA,1957,62.20108
USA,1958,60.5542
USA,1959,61.39219
USA,1960,61.52728
USA,1961,60.87849
USA,1962,61.47677
USA,1963,61.48097
USA,1964,61.79631
USA,1965,62.41243
USA,1966,63.37987
USA,1967,63.80169
USA,1968,64.08068
USA,1969,64.61467
USA,1970,63.99263
USA,1971,63.17525
USA,1972,63.7738
USA,1973,64.85249
USA,1974,64.99554
USA,1975,63.08882
USA,1976,64.14752
USA,1977,65.39526
USA,1978,67.09882
USA,1979,67.91239
USA,1980,67.18594
USA,1981,67.07856
USA,1982,65.76852
USA,1983,66.00588
USA,1984,68.13399
USA,1985,69.00044
USA,1986,69.68153
USA,1987,70.74065
USA,1988,71.64634
USA,1989,72.4952
USA,1990,72.19167
USA,1991,70.96761
USA,1992,70.80585
USA,1993,71.20782
USA,1994,72.00175
USA,1995,72.5349
USA,1996,72.85875
USA,1997,73.50204
USA,1998,73.84345
USA,1999,73.94605
USA,2000,74.09456
USA,2001,73.13562
USA,2002,71.92931
USA,2003,71.22334
USA,2004,71.22248
USA,2005,71.53017
USA,2006,71.99708
USA,2007,71.78132
USA,2008,70.88825
USA,2009,67.62595
USA,2010,66.68977
USA,2011,66.64754
USA,2012,67.13661
USA,2013,67.35994
USA,2014,68.14875
USA,2015,68.70962
USA,2016,69.35136
USA,2017,70.11017
USA,2018,70.72614
USA,2019,71.35841
USA,2020,67.06998
USA,2021,69.40365
CHL,2005,54.44468
CHL,2006,55.5009
CHL,2007,56.3303
CHL,2008,57.2645
CHL,2009,56.06453
CHL,2010,60.1041
CHL,2011,62.04338
CHL,2012,62.65226
CHL,2013,63.15082
CHL,2014,63.23605
CHL,2015,63.49899
CHL,2016,63.34484
CHL,2017,63.90356
CHL,2018,64.0955
CHL,2019,64.09287
CHL,2020,55.84916
CHL,2021,58.47194
ISR,1995,56.51433
ISR,1996,56.36247
ISR,1997,55.70263
ISR,1998,55.23224
ISR,1999,55.46907
ISR,2000,56.07549
ISR,2001,55.56511
ISR,2002,54.80782
ISR,2003,54.97932
ISR,2004,55.6702
ISR,2005,56.70815
ISR,2006,57.55732
ISR,2007,58.94432
ISR,2008,59.82737
ISR,2009,59.21324
ISR,2010,60.1636
ISR,2011,60.87873
ISR,2012,66.5
ISR,2013,67.05833
ISR,2014,67.86667
ISR,2015,68.31667
ISR,2016,68.575
ISR,2017,69.025
ISR,2018,69.03333
ISR,2019,68.94167
ISR,2020,66.78333
ISR,2021,66.6
