country,Year,Poverty rate (no unit)
ITA,2008,0.119
ITA,2009,0.12
ITA,2010,0.134
ITA,2011,0.128
ITA,2012,0.13
ITA,2013,0.133
ITA,2014,0.137
ITA,2015,0.144
ITA,2016,0.137
ITA,2017,0.139
ITA,2018,0.142
LUX,2015,0.109
LUX,2016,0.111
LUX,2017,0.122
LUX,2018,0.114
LUX,2019,0.105
NLD,2011,0.072
NLD,2012,0.074
NLD,2013,0.078
NLD,2014,0.077
NLD,2015,0.077
NLD,2016,0.081
NLD,2017,0.079
NLD,2018,0.078
NLD,2019,0.082
POL,2005,0.124
POL,2006,0.11
POL,2007,0.096
POL,2008,0.107
POL,2009,0.108
POL,2010,0.107
POL,2011,0.106
POL,2012,0.104
POL,2013,0.106
POL,2014,0.104
POL,2015,0.111
POL,2016,0.103
POL,2017,0.096
POL,2018,0.098
PRT,2004,0.132
PRT,2005,0.126
PRT,2006,0.124
PRT,2007,0.128
PRT,2008,0.113
PRT,2009,0.116
PRT,2010,0.109
PRT,2011,0.114
PRT,2012,0.13
PRT,2013,0.135
PRT,2014,0.135
PRT,2015,0.125
PRT,2016,0.125
PRT,2017,0.107
PRT,2018,0.104
PRT,2019,0.106
SVK,2004,0.083
SVK,2005,0.072
SVK,2006,0.065
SVK,2007,0.069
SVK,2008,0.072
SVK,2009,0.079
SVK,2010,0.08
SVK,2011,0.082
SVK,2012,0.085
SVK,2013,0.085
SVK,2014,0.088
SVK,2015,0.085
SVK,2016,0.085
SVK,2017,0.073
SVK,2018,0.077
SVK,2019,0.078
ESP,2007,0.144
ESP,2008,0.146
ESP,2009,0.148
ESP,2010,0.139
ESP,2011,0.147
ESP,2012,0.141
ESP,2013,0.159
ESP,2014,0.153
ESP,2015,0.153
ESP,2016,0.156
ESP,2017,0.148
ESP,2018,0.142
ESP,2019,0.147
SWE,2013,0.086
SWE,2014,0.09
SWE,2015,0.092
SWE,2016,0.091
SWE,2017,0.093
SWE,2018,0.089
SWE,2019,0.093
EST,2013,0.158
EST,2014,0.157
EST,2015,0.16
EST,2016,0.158
EST,2017,0.158
EST,2018,0.163
EST,2019,0.149
SVN,2004,0.079
SVN,2005,0.071
SVN,2006,0.074
SVN,2007,0.079
SVN,2008,0.079
SVN,2009,0.083
SVN,2010,0.091
SVN,2011,0.086
SVN,2012,0.095
SVN,2013,0.095
SVN,2014,0.093
SVN,2015,0.092
SVN,2016,0.086
SVN,2017,0.085
SVN,2018,0.075
SVN,2019,0.074
LVA,2004,0.142
LVA,2005,0.176
LVA,2006,0.146
LVA,2007,0.186
LVA,2008,0.191
LVA,2009,0.141
LVA,2010,0.133
LVA,2011,0.129
LVA,2012,0.133
LVA,2013,0.145
LVA,2014,0.164
LVA,2015,0.162
LVA,2016,0.167
LVA,2017,0.166
LVA,2018,0.175
LVA,2019,0.162
LTU,2004,0.137
LTU,2005,0.145
LTU,2006,0.136
LTU,2007,0.132
LTU,2008,0.146
LTU,2009,0.15
LTU,2010,0.127
LTU,2011,0.126
LTU,2012,0.143
LTU,2013,0.124
LTU,2014,0.157
LTU,2015,0.165
LTU,2016,0.168
LTU,2017,0.173
LTU,2018,0.155
LTU,2019,0.154
